ProductID,date,inventory_level
P091,2023-02-01,125
P092,2023-02-01,10
P093,2023-02-01,130
P094,2023-02-01,141
P095,2023-02-01,141
P096,2023-02-01,110
P097,2023-02-01,228
P098,2023-02-01,181
P099,2023-02-01,0
P100,2023-02-01,255
P101,2023-02-01,305
P102,2023-02-01,340
P103,2023-02-01,385
P104,2023-02-01,390
P105,2023-02-01,165
P106,2023-02-01,221
P107,2023-02-01,89
P108,2023-02-01,198
P109,2023-02-01,115
P110,2023-02-01,125
P111,2023-02-01,1055
P112,2023-02-01,223
P113,2023-02-01,160
P114,2023-02-01,506
P115,2023-02-01,259
P116,2023-02-01,155
P117,2023-02-01,123
P118,2023-02-01,262
P119,2023-02-01,136
P120,2023-02-01,53
P121,2023-02-01,305
P122,2023-02-01,285
P123,2023-02-01,107
P124,2023-02-01,452
P125,2023-02-01,384
P126,2023-02-01,135
P127,2023-02-01,371
P128,2023-02-01,390
P129,2023-02-01,232
P130,2023-02-01,53
P131,2023-02-01,366
P132,2023-02-01,64
P133,2023-02-01,380
P134,2023-02-01,910
P135,2023-02-01,445
P136,2023-02-01,325
P137,2023-02-01,295
P138,2023-02-01,293
P139,2023-02-01,72
P140,2023-02-01,48
P141,2023-02-01,82
P142,2023-02-01,570
P143,2023-02-01,184
P144,2023-02-01,758
P145,2023-02-01,74
P146,2023-02-01,123
P147,2023-02-01,267
P148,2023-02-01,590
P149,2023-02-01,228
P150,2023-02-01,218
P151,2023-02-01,192
P152,2023-02-01,76
P153,2023-02-01,469
P154,2023-02-01,60
P155,2023-02-01,130
P156,2023-02-01,150
P157,2023-02-01,506
P158,2023-02-01,38
P159,2023-02-01,318
P160,2023-02-01,376
P161,2023-02-01,104
P162,2023-02-01,87
P163,2023-02-01,744
P164,2023-02-01,479
P165,2023-02-01,199
P166,2023-02-01,333
P167,2023-02-01,201
P168,2023-02-01,270
P169,2023-02-01,219
P170,2023-02-01,263
P171,2023-02-01,254
P172,2023-02-01,389
P173,2023-02-01,368
P174,2023-02-01,67
P175,2023-02-01,251
P176,2023-02-01,250
P177,2023-02-01,695
P178,2023-02-01,132
P179,2023-02-01,153
P180,2023-02-01,87
P181,2023-02-01,200
P182,2023-02-01,254
P183,2023-02-01,107
P184,2023-02-01,345
P185,2023-02-01,252
P186,2023-02-01,100
P187,2023-02-01,487
P188,2023-02-01,486
P189,2023-02-01,1250
P190,2023-02-01,265
P191,2023-02-01,402
P192,2023-02-01,562
P193,2023-02-01,141
P194,2023-02-01,340
P195,2023-02-01,192
P196,2023-02-01,47
P197,2023-02-01,97
P198,2023-02-01,46
P199,2023-02-01,271
P200,2023-02-01,227
P201,2023-02-01,259
P202,2023-02-01,0
P203,2023-02-01,190
P204,2023-02-01,258
P205,2023-02-01,947
P206,2023-02-01,97
P207,2023-02-01,301
P208,2023-02-01,169
P209,2023-02-01,270
P210,2023-02-01,315
P211,2023-02-01,316
P212,2023-02-01,163
P213,2023-02-01,206
P214,2023-02-01,0
P215,2023-02-01,129
P216,2023-02-01,299
P217,2023-02-01,86
P218,2023-02-01,264
P219,2023-02-01,239
P220,2023-02-01,385
P221,2023-02-01,382
P222,2023-02-01,167
P223,2023-02-01,264
P224,2023-02-01,150
P225,2023-02-01,83
P226,2023-02-01,150
P227,2023-02-01,86
P228,2023-02-01,800
P229,2023-02-01,189
P230,2023-02-01,103
P231,2023-02-01,105
P232,2023-02-01,233
P233,2023-02-01,103
P234,2023-02-01,68
P235,2023-02-01,299
P236,2023-02-01,105
P237,2023-02-01,74
P238,2023-02-01,459
P239,2023-02-01,819
P240,2023-02-01,74
P241,2023-02-01,216
P242,2023-02-01,655
P243,2023-02-01,178
P244,2023-02-01,236
P245,2023-02-01,207
P246,2023-02-01,123
P247,2023-02-01,265
P248,2023-02-01,306
P249,2023-02-01,358
P250,2023-02-01,85
P001,2023-03-01,129
P002,2023-03-01,137
P003,2023-03-01,102
P004,2023-03-01,299
P005,2023-03-01,38
P006,2023-03-01,57
P007,2023-03-01,226
P008,2023-03-01,128
P009,2023-03-01,363
P010,2023-03-01,29
P011,2023-03-01,170
P012,2023-03-01,299
P013,2023-03-01,181
P014,2023-03-01,110
P015,2023-03-01,409
P016,2023-03-01,162
P017,2023-03-01,43
P018,2023-03-01,38
P019,2023-03-01,83
P020,2023-03-01,609
P021,2023-03-01,66
P022,2023-03-01,61
P023,2023-03-01,33
P024,2023-03-01,12
P025,2023-03-01,87
P026,2023-03-01,221
P027,2023-03-01,185
P028,2023-03-01,203
P029,2023-03-01,153
P030,2023-03-01,241
P031,2023-03-01,233
P032,2023-03-01,26
P033,2023-03-01,483
P034,2023-03-01,271
P035,2023-03-01,309
P036,2023-03-01,15
P037,2023-03-01,510
P038,2023-03-01,164
P039,2023-03-01,415
P040,2023-03-01,358
P041,2023-03-01,102
P042,2023-03-01,122
P043,2023-03-01,505
P044,2023-03-01,159
P045,2023-03-01,57
P046,2023-03-01,263
P047,2023-03-01,597
P048,2023-03-01,0
P049,2023-03-01,233
P050,2023-03-01,81
P051,2023-03-01,92
P052,2023-03-01,194
P053,2023-03-01,59
P054,2023-03-01,299
P055,2023-03-01,324
P056,2023-03-01,435
P057,2023-03-01,97
P058,2023-03-01,66
P059,2023-03-01,121
P060,2023-03-01,303
P061,2023-03-01,118
P062,2023-03-01,86
P063,2023-03-01,470
P064,2023-03-01,253
P065,2023-03-01,190
P066,2023-03-01,104
P067,2023-03-01,474
P068,2023-03-01,494
P069,2023-03-01,253
P070,2023-03-01,266
P071,2023-03-01,125
P072,2023-03-01,189
P073,2023-03-01,81
P074,2023-03-01,68
P075,2023-03-01,35
P076,2023-03-01,418
P077,2023-03-01,46
P078,2023-03-01,77
P079,2023-03-01,153
P080,2023-03-01,105
P081,2023-03-01,88
P082,2023-03-01,529
P083,2023-03-01,377
P084,2023-03-01,427
P085,2023-03-01,425
P086,2023-03-01,444
P087,2023-03-01,114
P088,2023-03-01,109
P089,2023-03-01,15
P090,2023-03-01,109
P091,2023-03-01,85
P092,2023-03-01,194
P093,2023-03-01,96
P094,2023-03-01,38
P095,2023-03-01,43
P096,2023-03-01,41
P097,2023-03-01,129
P098,2023-03-01,119
P099,2023-03-01,468
P100,2023-03-01,189
P101,2023-03-01,241
P102,2023-03-01,2
P103,2023-03-01,277
P104,2023-03-01,275
P105,2023-03-01,131
P106,2023-03-01,165
P107,2023-03-01,53
P108,2023-03-01,129
P109,2023-03-01,4
P110,2023-03-01,56
P111,2023-03-01,901
P112,2023-03-01,174
P113,2023-03-01,133
P114,2023-03-01,427
P115,2023-03-01,197
P116,2023-03-01,63
P117,2023-03-01,46
P118,2023-03-01,179
P119,2023-03-01,105
P120,2023-03-01,186
P121,2023-03-01,251
P122,2023-03-01,229
P123,2023-03-01,56
P124,2023-03-01,382
P125,2023-03-01,274
P126,2023-03-01,97
P127,2023-03-01,247
P128,2023-03-01,289
P129,2023-03-01,147
P130,2023-03-01,27
P131,2023-03-01,270
P132,2023-03-01,437
P133,2023-03-01,291
P134,2023-03-01,697
P135,2023-03-01,280
P136,2023-03-01,252
P137,2023-03-01,228
P138,2023-03-01,0
P139,2023-03-01,35
P140,2023-03-01,22
P141,2023-03-01,21
P142,2023-03-01,465
P143,2023-03-01,86
P144,2023-03-01,621
P145,2023-03-01,40
P146,2023-03-01,91
P147,2023-03-01,231
P148,2023-03-01,485
P149,2023-03-01,175
P150,2023-03-01,0
P151,2023-03-01,134
P152,2023-03-01,52
P153,2023-03-01,390
P154,2023-03-01,18
P155,2023-03-01,7
P156,2023-03-01,101
P157,2023-03-01,425
P158,2023-03-01,274
P159,2023-03-01,256
P160,2023-03-01,311
P161,2023-03-01,82
P162,2023-03-01,285
P163,2023-03-01,661
P164,2023-03-01,303
P165,2023-03-01,158
P166,2023-03-01,248
P167,2023-03-01,129
P168,2023-03-01,163
P169,2023-03-01,150
P170,2023-03-01,236
P171,2023-03-01,100
P172,2023-03-01,331
P173,2023-03-01,215
P174,2023-03-01,365
P175,2023-03-01,204
P176,2023-03-01,172
P177,2023-03-01,196
P178,2023-03-01,49
P179,2023-03-01,100
P180,2023-03-01,55
P181,2023-03-01,64
P182,2023-03-01,173
P183,2023-03-01,49
P184,2023-03-01,271
P185,2023-03-01,169
P186,2023-03-01,69
P187,2023-03-01,388
P188,2023-03-01,316
P189,2023-03-01,889
P190,2023-03-01,201
P191,2023-03-01,305
P192,2023-03-01,407
P193,2023-03-01,74
P194,2023-03-01,242
P195,2023-03-01,148
P196,2023-03-01,14
P197,2023-03-01,0
P198,2023-03-01,19
P199,2023-03-01,135
P200,2023-03-01,177
P201,2023-03-01,168
P202,2023-03-01,215
P203,2023-03-01,79
P204,2023-03-01,184
P205,2023-03-01,639
P206,2023-03-01,65
P207,2023-03-01,220
P208,2023-03-01,111
P209,2023-03-01,194
P210,2023-03-01,299
P211,2023-03-01,262
P212,2023-03-01,132
P213,2023-03-01,122
P214,2023-03-01,138
P215,2023-03-01,86
P216,2023-03-01,164
P217,2023-03-01,40
P218,2023-03-01,203
P219,2023-03-01,170
P220,2023-03-01,256
P221,2023-03-01,305
P222,2023-03-01,107
P223,2023-03-01,213
P224,2023-03-01,118
P225,2023-03-01,32
P226,2023-03-01,90
P227,2023-03-01,22
P228,2023-03-01,601
P229,2023-03-01,141
P230,2023-03-01,50
P231,2023-03-01,75
P232,2023-03-01,163
P233,2023-03-01,75
P234,2023-03-01,24
P235,2023-03-01,151
P236,2023-03-01,78
P237,2023-03-01,291
P238,2023-03-01,335
P239,2023-03-01,742
P240,2023-03-01,36
P241,2023-03-01,173
P242,2023-03-01,495
P243,2023-03-01,75
P244,2023-03-01,184
P245,2023-03-01,169
P246,2023-03-01,100
P247,2023-03-01,170
P248,2023-03-01,167
P249,2023-03-01,243
P250,2023-03-01,47
P001,2023-04-01,89
P002,2023-04-01,108
P003,2023-04-01,47
P004,2023-04-01,155
P005,2023-04-01,173
P006,2023-04-01,28
P007,2023-04-01,148
P008,2023-04-01,35
P009,2023-04-01,269
P010,2023-04-01,301
P011,2023-04-01,100
P012,2023-04-01,218
P013,2023-04-01,13
P014,2023-04-01,85
P015,2023-04-01,349
P016,2023-04-01,101
P017,2023-04-01,172
P018,2023-04-01,166
P019,2023-04-01,52
P020,2023-04-01,410
P021,2023-04-01,24
P022,2023-04-01,21
P023,2023-04-01,182
P024,2023-04-01,165
P025,2023-04-01,17
P026,2023-04-01,62
P027,2023-04-01,138
P028,2023-04-01,135
P029,2023-04-01,121
P030,2023-04-01,78
P031,2023-04-01,19
P032,2023-04-01,127
P033,2023-04-01,370
P034,2023-04-01,157
P035,2023-04-01,244
P036,2023-04-01,112
P037,2023-04-01,383
P038,2023-04-01,3
P039,2023-04-01,314
P040,2023-04-01,306
P041,2023-04-01,47
P042,2023-04-01,43
P043,2023-04-01,350
P044,2023-04-01,90
P045,2023-04-01,27
P046,2023-04-01,184
P047,2023-04-01,446
P048,2023-04-01,355
P049,2023-04-01,182
P050,2023-04-01,55
P051,2023-04-01,67
P052,2023-04-01,150
P053,2023-04-01,316
P054,2023-04-01,227
P055,2023-04-01,255
P056,2023-04-01,318
P057,2023-04-01,30
P058,2023-04-01,412
P059,2023-04-01,49
P060,2023-04-01,149
P061,2023-04-01,84
P062,2023-04-01,37
P063,2023-04-01,356
P064,2023-04-01,194
P065,2023-04-01,68
P066,2023-04-01,703
P067,2023-04-01,349
P068,2023-04-01,448
P069,2023-04-01,166
P070,2023-04-01,112
P071,2023-04-01,42
P072,2023-04-01,116
P073,2023-04-01,23
P074,2023-04-01,264
P075,2023-04-01,160
P076,2023-04-01,309
P077,2023-04-01,14
P078,2023-04-01,38
P079,2023-04-01,100
P080,2023-04-01,69
P081,2023-04-01,67
P082,2023-04-01,430
P083,2023-04-01,291
P084,2023-04-01,328
P085,2023-04-01,300
P086,2023-04-01,355
P087,2023-04-01,875
P088,2023-04-01,72
P089,2023-04-01,112
P090,2023-04-01,49
P091,2023-04-01,60
P092,2023-04-01,155
P093,2023-04-01,54
P094,2023-04-01,331
P095,2023-04-01,350
P096,2023-04-01,247
P097,2023-04-01,45
P098,2023-04-01,61
P099,2023-04-01,397
P100,2023-04-01,183
P101,2023-04-01,173
P102,2023-04-01,1392
P103,2023-04-01,144
P104,2023-04-01,140
P105,2023-04-01,83
P106,2023-04-01,117
P107,2023-04-01,30
P108,2023-04-01,75
P109,2023-04-01,311
P110,2023-04-01,221
P111,2023-04-01,675
P112,2023-04-01,119
P113,2023-04-01,90
P114,2023-04-01,319
P115,2023-04-01,83
P116,2023-04-01,316
P117,2023-04-01,307
P118,2023-04-01,98
P119,2023-04-01,73
P120,2023-04-01,136
P121,2023-04-01,165
P122,2023-04-01,161
P123,2023-04-01,185
P124,2023-04-01,315
P125,2023-04-01,166
P126,2023-04-01,64
P127,2023-04-01,146
P128,2023-04-01,181
P129,2023-04-01,40
P130,2023-04-01,107
P131,2023-04-01,172
P132,2023-04-01,338
P133,2023-04-01,163
P134,2023-04-01,561
P135,2023-04-01,119
P136,2023-04-01,166
P137,2023-04-01,175
P138,2023-04-01,2091
P139,2023-04-01,128
P140,2023-04-01,109
P141,2023-04-01,185
P142,2023-04-01,332
P143,2023-04-01,60
P144,2023-04-01,463
P145,2023-04-01,11
P146,2023-04-01,63
P147,2023-04-01,171
P148,2023-04-01,364
P149,2023-04-01,114
P150,2023-04-01,278
P151,2023-04-01,81
P152,2023-04-01,29
P153,2023-04-01,255
P154,2023-04-01,161
P155,2023-04-01,431
P156,2023-04-01,54
P157,2023-04-01,307
P158,2023-04-01,205
P159,2023-04-01,199
P160,2023-04-01,240
P161,2023-04-01,56
P162,2023-04-01,201
P163,2023-04-01,304
P164,2023-04-01,136
P165,2023-04-01,127
P166,2023-04-01,146
P167,2023-04-01,46
P168,2023-04-01,46
P169,2023-04-01,79
P170,2023-04-01,191
P171,2023-04-01,479
P172,2023-04-01,231
P173,2023-04-01,62
P174,2023-04-01,0
P175,2023-04-01,140
P176,2023-04-01,78
P177,2023-04-01,1631
P178,2023-04-01,269
P179,2023-04-01,41
P180,2023-04-01,13
P181,2023-04-01,410
P182,2023-04-01,94
P183,2023-04-01,12
P184,2023-04-01,192
P185,2023-04-01,84
P186,2023-04-01,43
P187,2023-04-01,271
P188,2023-04-01,194
P189,2023-04-01,662
P190,2023-04-01,136
P191,2023-04-01,215
P192,2023-04-01,256
P193,2023-04-01,440
P194,2023-04-01,153
P195,2023-04-01,93
P196,2023-04-01,101
P197,2023-04-01,752
P198,2023-04-01,121
P199,2023-04-01,0
P200,2023-04-01,135
P201,2023-04-01,108
P202,2023-04-01,152
P203,2023-04-01,458
P204,2023-04-01,109
P205,2023-04-01,492
P206,2023-04-01,27
P207,2023-04-01,137
P208,2023-04-01,38
P209,2023-04-01,105
P210,2023-04-01,134
P211,2023-04-01,163
P212,2023-04-01,110
P213,2023-04-01,50
P214,2023-04-01,70
P215,2023-04-01,34
P216,2023-04-01,45
P217,2023-04-01,156
P218,2023-04-01,145
P219,2023-04-01,122
P220,2023-04-01,134
P221,2023-04-01,197
P222,2023-04-01,48
P223,2023-04-01,148
P224,2023-04-01,81
P225,2023-04-01,414
P226,2023-04-01,53
P227,2023-04-01,230
P228,2023-04-01,375
P229,2023-04-01,93
P230,2023-04-01,199
P231,2023-04-01,48
P232,2023-04-01,78
P233,2023-04-01,41
P234,2023-04-01,149
P235,2023-04-01,993
P236,2023-04-01,43
P237,2023-04-01,218
P238,2023-04-01,243
P239,2023-04-01,590
P240,2023-04-01,143
P241,2023-04-01,125
P242,2023-04-01,231
P243,2023-04-01,13
P244,2023-04-01,138
P245,2023-04-01,131
P246,2023-04-01,30
P247,2023-04-01,0
P248,2023-04-01,115
P249,2023-04-01,143
P250,2023-04-01,9
P001,2023-05-01,39
P002,2023-05-01,80
P003,2023-05-01,302
P004,2023-05-01,790
P005,2023-05-01,143
P006,2023-05-01,139
P007,2023-05-01,91
P008,2023-05-01,1049
P009,2023-05-01,183
P010,2023-05-01,223
P011,2023-05-01,46
P012,2023-05-01,99
P013,2023-05-01,541
P014,2023-05-01,49
P015,2023-05-01,224
P016,2023-05-01,27
P017,2023-05-01,119
P018,2023-05-01,135
P019,2023-05-01,11
P020,2023-05-01,205
P021,2023-05-01,187
P022,2023-05-01,199
P023,2023-05-01,122
P024,2023-05-01,115
P025,2023-05-01,322
P026,2023-05-01,654
P027,2023-05-01,82
P028,2023-05-01,48
P029,2023-05-01,86
P030,2023-05-01,664
P031,2023-05-01,874
P032,2023-05-01,87
P033,2023-05-01,234
P034,2023-05-01,829
P035,2023-05-01,160
P036,2023-05-01,71
P037,2023-05-01,0
P038,2023-05-01,436
P039,2023-05-01,178
P040,2023-05-01,266
P041,2023-05-01,217
P042,2023-05-01,221
P043,2023-05-01,226
P044,2023-05-01,396
P045,2023-05-01,228
P046,2023-05-01,0
P047,2023-05-01,282
P048,2023-05-01,293
P049,2023-05-01,96
P050,2023-05-01,21
P051,2023-05-01,28
P052,2023-05-01,110
P053,2023-05-01,257
P054,2023-05-01,143
P055,2023-05-01,189
P056,2023-05-01,139
P057,2023-05-01,342
P058,2023-05-01,263
P059,2023-05-01,420
P060,2023-05-01,899
P061,2023-05-01,44
P062,2023-05-01,219
P063,2023-05-01,231
P064,2023-05-01,131
P065,2023-05-01,512
P066,2023-05-01,599
P067,2023-05-01,214
P068,2023-05-01,369
P069,2023-05-01,65
P070,2023-05-01,1029
P071,2023-05-01,507
P072,2023-05-01,0
P073,2023-05-01,351
P074,2023-05-01,217
P075,2023-05-01,115
P076,2023-05-01,233
P077,2023-05-01,132
P078,2023-05-01,263
P079,2023-05-01,54
P080,2023-05-01,10
P081,2023-05-01,27
P082,2023-05-01,0
P083,2023-05-01,172
P084,2023-05-01,188
P085,2023-05-01,160
P086,2023-05-01,257
P087,2023-05-01,595
P088,2023-05-01,22
P089,2023-05-01,79
P090,2023-05-01,240
P091,2023-05-01,0
P092,2023-05-01,97
P093,2023-05-01,241
P094,2023-05-01,230
P095,2023-05-01,256
P096,2023-05-01,160
P097,2023-05-01,378
P098,2023-05-01,385
P099,2023-05-01,300
P100,2023-05-01,92
P101,2023-05-01,103
P102,2023-05-01,879
P103,2023-05-01,0
P104,2023-05-01,638
P105,2023-05-01,39
P106,2023-05-01,75
P107,2023-05-01,190
P108,2023-05-01,23
P109,2023-05-01,263
P110,2023-05-01,168
P111,2023-05-01,415
P112,2023-05-01,62
P113,2023-05-01,63
P114,2023-05-01,210
P115,2023-05-01,16
P116,2023-05-01,248
P117,2023-05-01,214
P118,2023-05-01,526
P119,2023-05-01,48
P120,2023-05-01,96
P121,2023-05-01,122
P122,2023-05-01,97
P123,2023-05-01,140
P124,2023-05-01,217
P125,2023-05-01,84
P126,2023-05-01,36
P127,2023-05-01,0
P128,2023-05-01,85
P129,2023-05-01,396
P130,2023-05-01,72
P131,2023-05-01,61
P132,2023-05-01,289
P133,2023-05-01,29
P134,2023-05-01,385
P135,2023-05-01,888
P136,2023-05-01,96
P137,2023-05-01,111
P138,2023-05-01,1974
P139,2023-05-01,89
P140,2023-05-01,74
P141,2023-05-01,137
P142,2023-05-01,202
P143,2023-05-01,21
P144,2023-05-01,272
P145,2023-05-01,132
P146,2023-05-01,35
P147,2023-05-01,100
P148,2023-05-01,263
P149,2023-05-01,44
P150,2023-05-01,207
P151,2023-05-01,22
P152,2023-05-01,131
P153,2023-05-01,156
P154,2023-05-01,116
P155,2023-05-01,233
P156,2023-05-01,269
P157,2023-05-01,192
P158,2023-05-01,121
P159,2023-05-01,131
P160,2023-05-01,164
P161,2023-05-01,18
P162,2023-05-01,135
P163,2023-05-01,120
