ProductID,date,quantity_sales
P129,2023-02-01,76
P130,2023-02-01,26
P131,2023-02-01,81
P132,2023-02-01,77
P133,2023-02-01,120
P134,2023-02-01,186
P135,2023-02-01,153
P136,2023-02-01,52
P137,2023-02-01,63
P138,2023-02-01,281
P139,2023-02-01,31
P140,2023-02-01,29
P141,2023-02-01,50
P142,2023-02-01,117
P143,2023-02-01,53
P144,2023-02-01,180
P145,2023-02-01,30
P146,2023-02-01,31
P147,2023-02-01,62
P148,2023-02-01,87
P149,2023-02-01,56
P150,2023-02-01,61
P151,2023-02-01,80
P152,2023-02-01,28
P153,2023-02-01,136
P154,2023-02-01,48
P155,2023-02-01,178
P156,2023-02-01,67
P157,2023-02-01,120
P158,2023-02-01,127
P159,2023-02-01,67
P160,2023-02-01,90
P161,2023-02-01,25
P162,2023-02-01,72
P163,2023-02-01,245
P164,2023-02-01,142
P165,2023-02-01,42
P166,2023-02-01,78
P167,2023-02-01,70
P168,2023-02-01,140
P169,2023-02-01,73
P170,2023-02-01,62
P171,2023-02-01,141
P172,2023-02-01,73
P173,2023-02-01,256
P174,2023-02-01,202
P175,2023-02-01,80
P176,2023-02-01,72
P177,2023-02-01,80
P178,2023-02-01,69
P179,2023-02-01,43
P180,2023-02-01,30
P181,2023-02-01,104
P182,2023-02-01,71
P183,2023-02-01,40
P184,2023-02-01,83
P185,2023-02-01,70
P186,2023-02-01,32
P187,2023-02-01,87
P188,2023-02-01,141
P189,2023-02-01,389
P190,2023-02-01,55
P191,2023-02-01,67
P192,2023-02-01,157
P193,2023-02-01,97
P194,2023-02-01,68
P195,2023-02-01,53
P196,2023-02-01,32
P197,2023-02-01,153
P198,2023-02-01,39
P199,2023-02-01,188
P200,2023-02-01,38
P201,2023-02-01,88
P202,2023-02-01,165
P203,2023-02-01,117
P204,2023-02-01,89
P205,2023-02-01,87
P206,2023-02-01,33
P207,2023-02-01,49
P208,2023-02-01,60
P209,2023-02-01,79
P210,2023-02-01,142
P211,2023-02-01,93
P212,2023-02-01,30
P213,2023-02-01,96
P214,2023-02-01,114
P215,2023-02-01,48
P216,2023-02-01,135
P217,2023-02-01,48
P218,2023-02-01,55
P219,2023-02-01,51
P220,2023-02-01,101
P221,2023-02-01,78
P222,2023-02-01,82
P223,2023-02-01,57
P224,2023-02-01,53
P225,2023-02-01,65
P226,2023-02-01,53
P227,2023-02-01,77
P228,2023-02-01,235
P229,2023-02-01,46
P230,2023-02-01,54
P231,2023-02-01,34
P232,2023-02-01,129
P233,2023-02-01,29
P234,2023-02-01,41
P235,2023-02-01,172
P236,2023-02-01,30
P237,2023-02-01,89
P238,2023-02-01,146
P239,2023-02-01,150
P240,2023-02-01,38
P241,2023-02-01,38
P242,2023-02-01,111
P243,2023-02-01,91
P244,2023-02-01,38
P245,2023-02-01,36
P246,2023-02-01,57
P247,2023-02-01,56
P248,2023-02-01,444
P249,2023-02-01,105
P250,2023-02-01,42
P001,2023-03-01,43
P002,2023-03-01,34
P003,2023-03-01,68
P004,2023-03-01,108
P005,2023-03-01,31
P006,2023-03-01,47
P007,2023-03-01,72
P008,2023-03-01,167
P009,2023-03-01,71
P010,2023-03-01,91
P011,2023-03-01,71
P012,2023-03-01,95
P013,2023-03-01,60
P014,2023-03-01,26
P015,2023-03-01,84
P016,2023-03-01,59
P017,2023-03-01,46
P018,2023-03-01,34
P019,2023-03-01,26
P020,2023-03-01,154
P021,2023-03-01,35
P022,2023-03-01,39
P023,2023-03-01,53
P024,2023-03-01,49
P025,2023-03-01,87
P026,2023-03-01,150
P027,2023-03-01,42
P028,2023-03-01,78
P029,2023-03-01,39
P030,2023-03-01,142
P031,2023-03-01,79
P032,2023-03-01,33
P033,2023-03-01,101
P034,2023-03-01,167
P035,2023-03-01,73
P036,2023-03-01,34
P037,2023-03-01,380
P038,2023-03-01,65
P039,2023-03-01,144
P040,2023-03-01,33
P041,2023-03-01,40
P042,2023-03-01,42
P043,2023-03-01,132
P044,2023-03-01,88
P045,2023-03-01,32
P046,2023-03-01,71
P047,2023-03-01,57
P048,2023-03-01,87
P049,2023-03-01,70
P050,2023-03-01,38
P051,2023-03-01,35
P052,2023-03-01,45
P053,2023-03-01,75
P054,2023-03-01,59
P055,2023-03-01,62
P056,2023-03-01,531
P057,2023-03-01,67
P058,2023-03-01,152
P059,2023-03-01,57
P060,2023-03-01,173
P061,2023-03-01,39
P062,2023-03-01,41
P063,2023-03-01,122
P064,2023-03-01,52
P065,2023-03-01,103
P066,2023-03-01,116
P067,2023-03-01,127
P068,2023-03-01,128
P069,2023-03-01,97
P070,2023-03-01,214
P071,2023-03-01,112
P072,2023-03-01,163
P073,2023-03-01,49
P074,2023-03-01,43
P075,2023-03-01,43
P076,2023-03-01,83
P077,2023-03-01,26
P078,2023-03-01,53
P079,2023-03-01,47
P080,2023-03-01,51
P081,2023-03-01,31
P082,2023-03-01,117
P083,2023-03-01,81
P084,2023-03-01,222
P085,2023-03-01,103
P086,2023-03-01,102
P087,2023-03-01,234
P088,2023-03-01,42
P089,2023-03-01,32
P090,2023-03-01,44
P091,2023-03-01,40
P092,2023-03-01,48
P093,2023-03-01,34
P094,2023-03-01,103
P095,2023-03-01,98
P096,2023-03-01,69
P097,2023-03-01,99
P098,2023-03-01,62
P099,2023-03-01,36
P100,2023-03-01,66
P101,2023-03-01,64
P102,2023-03-01,338
P103,2023-03-01,108
P104,2023-03-01,115
P105,2023-03-01,34
P106,2023-03-01,56
P107,2023-03-01,36
P108,2023-03-01,69
P109,2023-03-01,111
P110,2023-03-01,69
P111,2023-03-01,154
P112,2023-03-01,49
P113,2023-03-01,27
P114,2023-03-01,79
P115,2023-03-01,62
P116,2023-03-01,92
P117,2023-03-01,77
P118,2023-03-01,83
P119,2023-03-01,31
P120,2023-03-01,46
P121,2023-03-01,54
P122,2023-03-01,56
P123,2023-03-01,51
P124,2023-03-01,70
P125,2023-03-01,110
P126,2023-03-01,38
P127,2023-03-01,124
P128,2023-03-01,101
P129,2023-03-01,85
P130,2023-03-01,26
P131,2023-03-01,96
P132,2023-03-01,46
P133,2023-03-01,89
P134,2023-03-01,213
P135,2023-03-01,165
P136,2023-03-01,73
P137,2023-03-01,67
P138,2023-03-01,293
P139,2023-03-01,37
P140,2023-03-01,26
P141,2023-03-01,61
P142,2023-03-01,105
P143,2023-03-01,98
P144,2023-03-01,137
P145,2023-03-01,34
P146,2023-03-01,32
P147,2023-03-01,36
P148,2023-03-01,105
P149,2023-03-01,53
P150,2023-03-01,218
P151,2023-03-01,58
P152,2023-03-01,24
P153,2023-03-01,79
P154,2023-03-01,42
P155,2023-03-01,123
P156,2023-03-01,49
P157,2023-03-01,81
P158,2023-03-01,86
P159,2023-03-01,62
P160,2023-03-01,65
P161,2023-03-01,22
P162,2023-03-01,70
P163,2023-03-01,83
P164,2023-03-01,176
P165,2023-03-01,41
P166,2023-03-01,85
P167,2023-03-01,72
P168,2023-03-01,107
P169,2023-03-01,69
P170,2023-03-01,27
P171,2023-03-01,154
P172,2023-03-01,58
P173,2023-03-01,153
P174,2023-03-01,158
P175,2023-03-01,47
P176,2023-03-01,78
P177,2023-03-01,499
P178,2023-03-01,83
P179,2023-03-01,53
P180,2023-03-01,32
P181,2023-03-01,136
P182,2023-03-01,81
P183,2023-03-01,58
P184,2023-03-01,74
P185,2023-03-01,83
P186,2023-03-01,31
P187,2023-03-01,99
P188,2023-03-01,170
P189,2023-03-01,361
P190,2023-03-01,64
P191,2023-03-01,97
P192,2023-03-01,155
P193,2023-03-01,67
P194,2023-03-01,98
P195,2023-03-01,44
P196,2023-03-01,33
P197,2023-03-01,97
P198,2023-03-01,27
P199,2023-03-01,136
P200,2023-03-01,50
P201,2023-03-01,91
P202,2023-03-01,57
P203,2023-03-01,111
P204,2023-03-01,74
P205,2023-03-01,308
P206,2023-03-01,32
P207,2023-03-01,81
P208,2023-03-01,58
P209,2023-03-01,76
P210,2023-03-01,16
P211,2023-03-01,54
P212,2023-03-01,31
P213,2023-03-01,84
P214,2023-03-01,74
P215,2023-03-01,43
P216,2023-03-01,135
P217,2023-03-01,46
P218,2023-03-01,61
P219,2023-03-01,69
P220,2023-03-01,129
P221,2023-03-01,77
P222,2023-03-01,60
P223,2023-03-01,51
P224,2023-03-01,32
P225,2023-03-01,51
P226,2023-03-01,60
P227,2023-03-01,64
P228,2023-03-01,199
P229,2023-03-01,48
P230,2023-03-01,53
P231,2023-03-01,30
P232,2023-03-01,70
P233,2023-03-01,28
P234,2023-03-01,44
P235,2023-03-01,148
P236,2023-03-01,27
P237,2023-03-01,64
P238,2023-03-01,124
P239,2023-03-01,77
P240,2023-03-01,38
P241,2023-03-01,43
P242,2023-03-01,160
P243,2023-03-01,103
P244,2023-03-01,52
P245,2023-03-01,38
P246,2023-03-01,23
P247,2023-03-01,95
P248,2023-03-01,139
P249,2023-03-01,115
P250,2023-03-01,38
P001,2023-04-01,40
P002,2023-04-01,29
P003,2023-04-01,55
P004,2023-04-01,144
P005,2023-04-01,29
P006,2023-04-01,29
P007,2023-04-01,78
P008,2023-04-01,93
P009,2023-04-01,94
P010,2023-04-01,75
P011,2023-04-01,70
P012,2023-04-01,81
P013,2023-04-01,168
P014,2023-04-01,25
P015,2023-04-01,60
P016,2023-04-01,61
P017,2023-04-01,54
P018,2023-04-01,37
P019,2023-04-01,31
P020,2023-04-01,199
P021,2023-04-01,42
P022,2023-04-01,40
P023,2023-04-01,57
P024,2023-04-01,45
P025,2023-04-01,70
P026,2023-04-01,159
P027,2023-04-01,47
P028,2023-04-01,68
P029,2023-04-01,32
P030,2023-04-01,163
P031,2023-04-01,214
P032,2023-04-01,42
P033,2023-04-01,113
P034,2023-04-01,114
P035,2023-04-01,65
P036,2023-04-01,30
P037,2023-04-01,127
P038,2023-04-01,161
P039,2023-04-01,101
P040,2023-04-01,52
P041,2023-04-01,55
P042,2023-04-01,79
P043,2023-04-01,155
P044,2023-04-01,69
P045,2023-04-01,30
P046,2023-04-01,79
P047,2023-04-01,151
P048,2023-04-01,122
P049,2023-04-01,51
P050,2023-04-01,26
P051,2023-04-01,25
P052,2023-04-01,44
P053,2023-04-01,65
P054,2023-04-01,72
P055,2023-04-01,69
P056,2023-04-01,117
P057,2023-04-01,67
P058,2023-04-01,142
P059,2023-04-01,72
P060,2023-04-01,154
P061,2023-04-01,34
P062,2023-04-01,49
P063,2023-04-01,114
P064,2023-04-01,59
P065,2023-04-01,122
P066,2023-04-01,87
P067,2023-04-01,125
P068,2023-04-01,46
P069,2023-04-01,87
P070,2023-04-01,154
P071,2023-04-01,83
P072,2023-04-01,73
P073,2023-04-01,58
P074,2023-04-01,56
P075,2023-04-01,54
P076,2023-04-01,109
P077,2023-04-01,32
P078,2023-04-01,39
P079,2023-04-01,53
P080,2023-04-01,36
P081,2023-04-01,21
P082,2023-04-01,99
P083,2023-04-01,86
P084,2023-04-01,99
P085,2023-04-01,125
P086,2023-04-01,89
P087,2023-04-01,194
P088,2023-04-01,37
P089,2023-04-01,29
P090,2023-04-01,60
P091,2023-04-01,25
P092,2023-04-01,39
P093,2023-04-01,42
P094,2023-04-01,95
P095,2023-04-01,62
P096,2023-04-01,57
P097,2023-04-01,84
P098,2023-04-01,58
P099,2023-04-01,71
P100,2023-04-01,6
P101,2023-04-01,68
P102,2023-04-01,247
P103,2023-04-01,133
P104,2023-04-01,135
P105,2023-04-01,48
P106,2023-04-01,48
P107,2023-04-01,23
P108,2023-04-01,54
P109,2023-04-01,94
P110,2023-04-01,59
P111,2023-04-01,226
P112,2023-04-01,55
P113,2023-04-01,43
P114,2023-04-01,108
P115,2023-04-01,114
P116,2023-04-01,98
P117,2023-04-01,58
P118,2023-04-01,81
P119,2023-04-01,32
P120,2023-04-01,50
P121,2023-04-01,86
P122,2023-04-01,68
P123,2023-04-01,48
P124,2023-04-01,67
P125,2023-04-01,108
P126,2023-04-01,33
P127,2023-04-01,101
P128,2023-04-01,108
P129,2023-04-01,107
P130,2023-04-01,33
P131,2023-04-01,98
P132,2023-04-01,99
P133,2023-04-01,128
P134,2023-04-01,136
P135,2023-04-01,161
P136,2023-04-01,86
P137,2023-04-01,53
P138,2023-04-01,71
P139,2023-04-01,35
P140,2023-04-01,30
P141,2023-04-01,58
P142,2023-04-01,133
P143,2023-04-01,26
P144,2023-04-01,158
P145,2023-04-01,29
P146,2023-04-01,28
P147,2023-04-01,60
P148,2023-04-01,121
P149,2023-04-01,61
P150,2023-04-01,203
P151,2023-04-01,53
P152,2023-04-01,23
P153,2023-04-01,135
P154,2023-04-01,55
P155,2023-04-01,151
P156,2023-04-01,47
P157,2023-04-01,118
P158,2023-04-01,69
P159,2023-04-01,57
P160,2023-04-01,71
P161,2023-04-01,26
P162,2023-04-01,84
P163,2023-04-01,357
P164,2023-04-01,167
P165,2023-04-01,31
P166,2023-04-01,102
P167,2023-04-01,83
P168,2023-04-01,117
P169,2023-04-01,71
P170,2023-04-01,45
P171,2023-04-01,156
P172,2023-04-01,100
P173,2023-04-01,153
P174,2023-04-01,365
P175,2023-04-01,64
P176,2023-04-01,94
P177,2023-04-01,257
P178,2023-04-01,71
P179,2023-04-01,59
P180,2023-04-01,42
P181,2023-04-01,116
P182,2023-04-01,79
P183,2023-04-01,37
P184,2023-04-01,79
P185,2023-04-01,85
P186,2023-04-01,26
P187,2023-04-01,117
P188,2023-04-01,122
P189,2023-04-01,227
P190,2023-04-01,65
P191,2023-04-01,90
P192,2023-04-01,151
P193,2023-04-01,62
P194,2023-04-01,89
P195,2023-04-01,55
P196,2023-04-01,46
P197,2023-04-01,502
P198,2023-04-01,33
P199,2023-04-01,135
P200,2023-04-01,42
P201,2023-04-01,60
P202,2023-04-01,63
P203,2023-04-01,129
P204,2023-04-01,75
P205,2023-04-01,147
P206,2023-04-01,38
P207,2023-04-01,83
P208,2023-04-01,73
P209,2023-04-01,89
P210,2023-04-01,165
P211,2023-04-01,99
P212,2023-04-01,22
P213,2023-04-01,72
P214,2023-04-01,68
P215,2023-04-01,52
P216,2023-04-01,119
P217,2023-04-01,62
P218,2023-04-01,58
P219,2023-04-01,48
P220,2023-04-01,122
P221,2023-04-01,108
P222,2023-04-01,59
P223,2023-04-01,65
P224,2023-04-01,37
P225,2023-04-01,31
P226,2023-04-01,37
P227,2023-04-01,59
P228,2023-04-01,226
P229,2023-04-01,48
P230,2023-04-01,58
P231,2023-04-01,27
P232,2023-04-01,85
P233,2023-04-01,34
P234,2023-04-01,38
P235,2023-04-01,139
P236,2023-04-01,35
P237,2023-04-01,73
P238,2023-04-01,92
P239,2023-04-01,152
P240,2023-04-01,41
P241,2023-04-01,48
P242,2023-04-01,264
P243,2023-04-01,62
P244,2023-04-01,46
P245,2023-04-01,38
P246,2023-04-01,70
P247,2023-04-01,170
P248,2023-04-01,52
P249,2023-04-01,100
P250,2023-04-01,38
P001,2023-05-01,50
P002,2023-05-01,28
P003,2023-05-01,57
P004,2023-05-01,95
P005,2023-05-01,30
P006,2023-05-01,39
P007,2023-05-01,57
P008,2023-05-01,137
P009,2023-05-01,86
P010,2023-05-01,78
P011,2023-05-01,54
P012,2023-05-01,119
P013,2023-05-01,119
P014,2023-05-01,36
P015,2023-05-01,125
P016,2023-05-01,74
P017,2023-05-01,53
P018,2023-05-01,31
P019,2023-05-01,41
P020,2023-05-01,205
P021,2023-05-01,53
P022,2023-05-01,20
P023,2023-05-01,60
P024,2023-05-01,50
P025,2023-05-01,85
P026,2023-05-01,208
P027,2023-05-01,56
P028,2023-05-01,87
P029,2023-05-01,35
P030,2023-05-01,175
P031,2023-05-01,8
P032,2023-05-01,40
P033,2023-05-01,136
P034,2023-05-01,136
P035,2023-05-01,84
P036,2023-05-01,41
P037,2023-05-01,383
P038,2023-05-01,103
P039,2023-05-01,136
P040,2023-05-01,40
P041,2023-05-01,57
P042,2023-05-01,66
P043,2023-05-01,124
P044,2023-05-01,133
P045,2023-05-01,28
P046,2023-05-01,184
P047,2023-05-01,164
P048,2023-05-01,62
P049,2023-05-01,86
P050,2023-05-01,34
P051,2023-05-01,39
P052,2023-05-01,40
P053,2023-05-01,59
P054,2023-05-01,84
P055,2023-05-01,66
P056,2023-05-01,179
P057,2023-05-01,47
P058,2023-05-01,149
P059,2023-05-01,63
P060,2023-05-01,186
P061,2023-05-01,40
P062,2023-05-01,44
P063,2023-05-01,125
P064,2023-05-01,63
P065,2023-05-01,106
P066,2023-05-01,104
P067,2023-05-01,135
P068,2023-05-01,79
P069,2023-05-01,101
P070,2023-05-01,174
P071,2023-05-01,103
P072,2023-05-01,116
P073,2023-05-01,23
P074,2023-05-01,47
P075,2023-05-01,45
P076,2023-05-01,76
P077,2023-05-01,33
P078,2023-05-01,38
P079,2023-05-01,46
P080,2023-05-01,59
P081,2023-05-01,40
P082,2023-05-01,430
P083,2023-05-01,119
P084,2023-05-01,140
P085,2023-05-01,140
P086,2023-05-01,98
P087,2023-05-01,280
P088,2023-05-01,50
P089,2023-05-01,33
P090,2023-05-01,61
P091,2023-05-01,60
P092,2023-05-01,58
P093,2023-05-01,38
P094,2023-05-01,101
P095,2023-05-01,94
P096,2023-05-01,87
P097,2023-05-01,73
P098,2023-05-01,66
P099,2023-05-01,97
P100,2023-05-01,91
P101,2023-05-01,70
P102,2023-05-01,513
P103,2023-05-01,144
P104,2023-05-01,126
P105,2023-05-01,44
P106,2023-05-01,42
P107,2023-05-01,41
P108,2023-05-01,52
P109,2023-05-01,48
P110,2023-05-01,53
P111,2023-05-01,260
P112,2023-05-01,57
P113,2023-05-01,27
P114,2023-05-01,109
P115,2023-05-01,67
P116,2023-05-01,68
P117,2023-05-01,93
P118,2023-05-01,68
P119,2023-05-01,25
P120,2023-05-01,40
P121,2023-05-01,43
P122,2023-05-01,64
P123,2023-05-01,45
P124,2023-05-01,98
P125,2023-05-01,82
P126,2023-05-01,28
P127,2023-05-01,146
P128,2023-05-01,96
P129,2023-05-01,94
P130,2023-05-01,35
P131,2023-05-01,111
P132,2023-05-01,49
P133,2023-05-01,134
P134,2023-05-01,176
P135,2023-05-01,190
P136,2023-05-01,70
P137,2023-05-01,64
P138,2023-05-01,117
P139,2023-05-01,39
P140,2023-05-01,35
P141,2023-05-01,48
P142,2023-05-01,130
P143,2023-05-01,39
P144,2023-05-01,191
P145,2023-05-01,36
P146,2023-05-01,28
P147,2023-05-01,71
P148,2023-05-01,101
P149,2023-05-01,70
P150,2023-05-01,71
P151,2023-05-01,59
P152,2023-05-01,24
P153,2023-05-01,99
P154,2023-05-01,45
P155,2023-05-01,198
P156,2023-05-01,60
P157,2023-05-01,115
P158,2023-05-01,84
P159,2023-05-01,68
P160,2023-05-01,76
P161,2023-05-01,38
P162,2023-05-01,66
P163,2023-05-01,184
P164,2023-05-01,136
