ProductID,Year,PLN,units
P056,2024,100582.16,2408
P057,2023,46986.3,830
P057,2024,43419.87,767
P058,2023,21891.24,1666
P058,2024,21286.8,1620
P059,2023,35688.87,821
P059,2024,33254.55,765
P060,2023,100335.07,2059
P060,2024,103648.71,2127
P061,2023,20239.55,415
P061,2024,20385.86,418
P062,2023,8780.6,430
P062,2024,13436.36,658
P063,2023,43297.76,1168
P063,2024,71545.1,1930
P064,2023,24885.0,750
P064,2024,23159.64,698
P065,2023,21427.9,1378
P065,2024,20401.6,1312
P066,2023,24787.2,1291
P066,2024,29644.8,1544
P067,2023,58346.04,1258
P067,2024,58717.08,1266
P068,2023,22926.06,1206
P068,2024,26081.72,1372
P069,2023,40879.08,1023
P069,2024,40359.6,1010
P070,2023,64566.0,2110
P070,2024,67748.4,2214
P071,2023,29528.85,1235
P071,2024,36725.76,1536
P072,2023,35594.76,1146
P072,2024,42210.54,1359
P073,2023,27644.31,751
P073,2024,39202.65,1065
P074,2023,18625.71,619
P074,2024,17753.1,590
P075,2023,16284.6,498
P075,2024,19816.2,606
P076,2023,66293.6,1384
P076,2024,49193.3,1027
P077,2023,7865.52,312
P077,2024,10159.63,403
P078,2023,15008.0,448
P078,2024,17152.0,512
P079,2023,15784.12,638
P079,2024,10935.08,442
P080,2023,34998.07,899
P080,2024,29392.15,755
P081,2023,10117.06,386
P081,2024,11034.41,421
P082,2023,137080.97,2797
P082,2024,92089.79,1879
P083,2023,73885.11,1121
P083,2024,75203.31,1141
P084,2023,29746.08,2951
P084,2024,31752.0,3150
P085,2023,131287.4,1604
P085,2024,117782.15,1439
P086,2023,104022.24,1492
P086,2024,70974.96,1018
P087,2023,54172.2,3390
P087,2024,38783.46,2427
P088,2023,68975.13,399
P088,2024,87126.48,504
P089,2023,10245.0,300
P089,2024,12772.1,374
P090,2023,26367.66,621
P090,2024,30358.9,715
P091,2023,70507.08,686
P091,2024,87465.78,851
P092,2023,16440.4,920
P092,2024,13724.16,768
P093,2023,5661.38,454
P093,2024,5835.96,468
P094,2023,26453.16,1182
P094,2024,22581.42,1009
P095,2023,24236.66,743
P095,2024,36893.22,1131
P096,2023,32780.79,853
P096,2024,35009.73,911
P097,2023,37028.39,763
P097,2024,35426.9,730
P098,2023,65900.52,644
P098,2024,65798.19,643
P099,2023,18856.4,1180
P099,2024,18952.28,1186
P100,2023,7999.45,695
P100,2024,13340.09,1159
P101,2023,26129.04,721
P101,2024,25331.76,699
P102,2023,49865.37,1779
P102,2024,34813.26,1242
P103,2023,32986.14,1219
P103,2024,42781.86,1581
P104,2023,18981.0,1850
P104,2024,11870.82,1157
P105,2023,16078.6,340
P105,2024,18537.68,392
P106,2023,25948.52,556
P106,2024,29028.74,622
P107,2023,8416.9,365
P107,2024,7609.8,330
P108,2023,163493.36,746
P108,2024,156699.4,715
P109,2023,8703.66,742
P109,2024,13219.71,1127
P110,2023,41526.68,676
P110,2024,41403.82,674
P111,2023,41532.5,2245
P111,2024,46268.5,2501
P112,2023,9973.28,664
P112,2024,8621.48,574
P113,2023,4162.86,351
P113,2024,5337.0,450
P114,2023,78092.56,1262
P114,2024,60704.28,981
P115,2023,16027.74,886
P115,2024,17692.02,978
P116,2023,22668.7,1142
P116,2024,28703.1,1446
P117,2023,16421.32,779
P117,2024,18719.04,888
P118,2023,37992.05,965
P118,2024,46023.53,1169
P119,2023,26803.04,388
P119,2024,21829.28,316
P120,2023,18324.12,491
P120,2024,23250.36,623
P121,2023,97223.12,1297
P121,2024,57269.44,764
P122,2023,59785.1,739
P122,2024,54445.7,673
P123,2023,11529.0,540
P123,2024,10867.15,509
P124,2023,28871.1,765
P124,2024,37740.0,1000
P125,2023,70022.7,1210
P125,2024,52140.87,901
P126,2023,25831.68,496
P126,2024,21717.36,417
P127,2023,39498.03,1209
P127,2024,36590.4,1120
P128,2023,119681.58,1227
P128,2024,109147.26,1119
P129,2023,25310.0,1000
P129,2024,26853.91,1061
P130,2023,6437.5,250
P130,2024,10300.0,400
P131,2023,46037.03,1157
P131,2024,47310.31,1189
P132,2023,29030.4,1080
P132,2024,32686.08,1216
P133,2023,26204.19,1821
P133,2024,23283.02,1618
P134,2023,161857.8,2340
P134,2024,194436.87,2811
P135,2023,57265.46,1822
P135,2024,53525.29,1703
P136,2023,44554.26,699
P136,2024,50928.26,799
P137,2023,39537.75,525
P137,2024,57838.08,768
P138,2023,21540.48,1726
P138,2024,18033.6,1445
P139,2023,19995.21,423
P139,2024,18955.27,401
P140,2023,6723.84,309
P140,2024,7006.72,322
P141,2023,27571.75,725
P141,2024,30081.73,791
P142,2023,59264.42,1186
P142,2024,78103.11,1563
P143,2023,13509.3,735
P143,2024,11230.18,611
P144,2023,27272.84,1799
P144,2024,29668.12,1957
P145,2023,13530.66,429
P145,2024,11575.18,367
P146,2023,9984.9,401
P146,2024,8839.5,355
P147,2023,18901.26,882
P147,2024,13908.07,649
P148,2023,45590.61,1131
P148,2024,60384.38,1498
P149,2023,24517.5,875
P149,2024,19277.76,688
P150,2023,42301.95,939
P150,2024,43157.9,958
P151,2023,41591.86,821
P151,2024,44327.5,875
P152,2023,7098.91,377
P152,2024,7004.76,372
P153,2023,30705.34,1447
P153,2024,42355.12,1996
P154,2023,21754.32,552
P154,2024,25222.4,640
P155,2023,68125.51,1823
P155,2024,65696.46,1758
P156,2023,19762.36,557
P156,2024,24197.36,682
P157,2023,132226.88,1436
P157,2024,176056.96,1912
P158,2023,82416.86,853
P158,2024,116330.48,1204
P159,2023,5428.64,592
P159,2024,5997.18,654
P160,2023,30199.51,937
P160,2024,19918.14,618
P161,2023,8511.48,324
P161,2024,9536.01,363
P162,2023,13961.36,932
P162,2024,12628.14,843
P163,2023,21524.7,2285
P163,2024,23079.0,2450
P164,2023,14520.0,1815
P164,2024,10696.0,1337
P165,2023,10110.6,410
P165,2024,10085.94,409
P166,2023,24404.82,1133
P166,2024,26084.94,1211
P167,2023,30752.49,867
P167,2024,27276.43,769
P168,2023,39787.71,1653
P168,2024,29606.1,1230
P169,2023,45204.48,864
P169,2024,49860.96,953
P170,2023,56161.8,820
P170,2024,65339.46,954
P171,2023,30570.12,1733
P171,2024,31540.32,1788
P172,2023,15794.1,805
P172,2024,17226.36,878
P173,2023,149747.84,1912
P173,2024,141915.84,1812
P174,2023,24101.66,1543
P174,2024,28662.7,1835
P175,2023,69696.9,666
P175,2024,67499.25,645
P176,2023,148648.5,1089
P176,2024,146601.0,1074
P177,2023,74171.1,3246
P177,2024,64916.85,2841
P178,2023,28118.16,882
P178,2024,24165.04,758
P179,2023,14389.5,362
P179,2024,22339.5,562
P180,2023,4190.4,360
P180,2024,3829.56,329
P181,2023,191005.1,1406
P181,2024,171035.15,1259
P182,2023,8192.0,1024
P182,2024,7536.0,942
P183,2023,10648.32,376
P183,2024,11497.92,406
P184,2023,27186.95,1211
P184,2024,27276.75,1215
P185,2023,116646.84,892
P185,2024,139139.28,1064
P186,2023,14147.6,452
P186,2024,10422.9,333
P187,2023,15399.14,1543
P187,2024,9670.62,969
P188,2023,76115.26,1753
P188,2024,106552.68,2454
P189,2023,135533.52,3672
P189,2024,127191.86,3446
P190,2023,57427.08,746
P190,2024,62738.7,815
P191,2023,5992.0,749
P191,2024,8480.0,1060
P192,2023,112301.6,1832
P192,2024,111198.2,1814
P193,2023,53268.16,814
P193,2024,39198.56,599
P194,2023,21598.5,1210
P194,2024,18314.1,1026
P195,2023,8590.4,590
P195,2024,7280.0,500
P196,2023,8587.2,480
P196,2024,6100.49,341
P197,2023,135119.33,2081
P197,2024,141612.33,2181
P198,2023,21816.1,410
P198,2024,23359.19,439
P199,2023,36346.44,1794
P199,2024,29295.96,1446
P200,2023,25552.8,455
P200,2024,33920.64,604
P201,2023,76071.84,1002
P201,2024,56864.08,749
P202,2023,22914.08,998
P202,2024,14786.24,644
P203,2023,108273.6,1545
P203,2024,137426.88,1961
P204,2023,16797.81,789
P204,2024,22120.31,1039
P205,2023,74473.16,3379
P205,2024,42779.64,1941
P206,2023,13900.02,534
P206,2024,10620.24,408
P207,2023,40246.14,1122
P207,2024,32821.05,915
P208,2023,5528.0,691
P208,2024,5816.0,727
P209,2023,12506.4,965
P209,2024,11456.64,884
P210,2023,15704.0,1963
P210,2024,24472.0,3059
P211,2023,36776.0,800
P211,2024,59439.21,1293
P212,2023,36609.02,497
P212,2024,29095.7,395
P213,2023,88437.6,1038
P213,2024,96616.8,1134
P214,2023,5840.0,730
P214,2024,9208.0,1151
P215,2023,16218.55,547
P215,2024,11593.15,391
P216,2023,11848.92,1011
P216,2024,14204.64,1212
P217,2023,6028.22,583
P217,2024,6555.56,634
P218,2023,12699.9,685
P218,2024,11402.1,615
P219,2023,8710.14,811
P219,2024,10664.82,993
P220,2023,151541.64,1147
P220,2024,138858.12,1051
P221,2023,7599.07,811
P221,2024,11000.38,1174
P222,2023,10848.53,803
P222,2024,9592.1,710
P223,2023,14853.36,597
P223,2024,18759.52,754
P224,2023,13182.03,447
P224,2024,10999.77,373
P225,2023,16860.08,584
P225,2024,20959.62,726
P226,2023,6450.06,557
P226,2024,6056.34,523
P227,2023,32263.28,952
P227,2024,25214.16,744
P228,2023,93821.13,2703
P228,2024,69871.23,2013
P229,2023,24111.06,502
P229,2024,21469.41,447
P230,2023,17095.34,691
P230,2024,14893.48,602
P231,2023,20382.22,353
P231,2024,18072.62,313
P232,2023,9850.88,1024
P232,2024,10812.88,1124
P233,2023,25190.28,334
P233,2024,25567.38,339
P234,2023,23628.78,441
P234,2024,27111.48,506
P235,2023,59295.87,1643
P235,2024,56950.02,1578
P236,2023,16292.78,406
P236,2024,16052.0,400
P237,2023,36579.82,622
P237,2024,51811.61,881
P238,2023,67804.0,1265
P238,2024,60514.4,1129
P239,2023,29373.8,2270
P239,2024,30848.96,2384
P240,2023,25109.3,386
P240,2024,32264.8,496
P241,2023,16619.68,497
P241,2024,20665.92,618
P242,2023,173475.72,2556
P242,2024,272701.66,4018
P243,2023,32218.71,841
P243,2024,28234.47,737
P244,2023,6346.08,468
P244,2024,6563.04,484
P245,2023,5433.15,435
P245,2024,6394.88,512
P246,2023,28946.63,739
P246,2024,26204.73,669
P247,2023,48773.34,759
P247,2024,42925.68,668
P248,2023,15274.88,1646
P248,2024,9985.28,1076
P249,2023,28223.91,1287
P249,2024,30504.63,1391
P250,2023,31500.5,502
P250,2024,25100.0,400
